postid,sourcelink,text,imagelink,creationtime
'33218045','https://www.twitter.com/yurenatee/status/1212305744499888128',"'ロレックス【楽天市場】  https://t.co/hbSNl2XBb4  #ロレックス #ROLEX #時計 #メンズ'",'','2020-01-01T09:33:07Z'
'33218046','https://www.twitter.com/Watch_Bear_/status/1212298158660673537',"'初詣はデイトナ116519LNで！大きく飛躍の1年に今日から1日1日頑張っていきます！！  #rolex #ロレックス #デイトナ #腕時計 https://t.co/Yvo1k064Il'",'https://pbs.twimg.com/media/ENLyvwTUUAUGWWA.jpg','2020-01-01T09:02:59Z'
'33218048','https://www.twitter.com/gold__watches/status/1212295705471201281',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Date Rolex Date Tiffany &amp; Co. Auto 26mm Steel Ladies Bracelet Watch 6916 https://t.co/jZsI672IzR #rolex #watches and #jewellery'",'','2020-01-01T08:53:14Z'
'33218047','https://www.twitter.com/gold__watches/status/1212295708100956161',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Vintage Steel Rolex 1500 Oyster Perpetual Date Automatic Watch Swiss 26j https://t.co/TqvuNRZdBT #rolex #watches and #jewellery'",'','2020-01-01T08:53:14Z'
'33218049','https://www.twitter.com/gold__watches/status/1212295702971396096',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Submariner Date 16610 Stainless Steel 40mm PREOWNED https://t.co/uxtEMAtlv2 #rolex #watches and #jewellery'",'','2020-01-01T08:53:13Z'
'33218051','https://www.twitter.com/gold__watches/status/1212295697904656384',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Vintage Rolex Submariner Date 16610, circa 1989 https://t.co/VuHbwx5sIX #rolex #watches and #jewellery'",'','2020-01-01T08:53:12Z'
'33218052','https://www.twitter.com/gold__watches/status/1212295696285609985',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || Rolex Yacht Master 16623 Silver 18K Yellow Gold Stainless Steel Box Paper 2011 https://t.co/cFjGBUukGh #rolex #watches and #jewellery'",'','2020-01-01T08:53:12Z'
'33218050','https://www.twitter.com/gold__watches/status/1212295700400214016',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || rolex cellini  White gold watch Blue Dial. Bought This New Three Months Ago. https://t.co/41Nu9zfUd2 #rolex #watches and #jewellery'",'','2020-01-01T08:53:12Z'
'33218053','https://www.twitter.com/gold__watches/status/1212295693047599104',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || J443 Vintage 1961 Rolex Precision 10KYG Art Deco 17J Mechanical Swiss Watch 30.2 https://t.co/kI0bQse7w5 #rolex #watches and #jewellery'",'','2020-01-01T08:53:11Z'
'33218054','https://www.twitter.com/gold__watches/status/1212295691005026306',"'Or checkout brand new &gt;&gt; https://t.co/9TMqTQV0x1 &lt;&lt; || rolex watch https://t.co/WAvJaI4JJq #rolex #watches and #jewellery'",'','2020-01-01T08:53:10Z'
